Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-05-11,Café de Flore,2011,https://boxd.it/1R1EK1,3,,Ruh eşi.... bir yerlerde birisinin senin için yaratılması... mümkün mu sanmam ama güzel düşünce...,,2021-05-11
2021-09-06,The Tomorrow War,2021,https://boxd.it/27p5kJ,2.5,,"Bir Burger King menüsü gibi... ne bekleyeceğinizi biliyorsunuz. Güzel bir burger değil ama  açlığınızı gideriyor. Daha sonra, içinde ne olduğu hakkında çok fazla düşünmeyin yiyin gidin yani izleyin ",,2021-09-05
2021-11-10,The Harder They Fall,2021,https://boxd.it/2h3Ypl,3,,http://arakatmag.art/the-harder-they-fall/,,2021-11-04
2022-01-10,12:01,1993,https://boxd.it/2sE5U7,3.5,,"No 'Groundhog Day,' But It's Not Bad",,2022-01-10
2022-03-17,Idiocracy,2006,https://boxd.it/2FEmd7,2,,gelecekte tüm insanların geri zekâlı olduğu bir dönemde geçiyor yani şuanın Türkiye'sinde geçiyor diyebiliriz...,,2022-03-17
2022-04-17,World of Tomorrow,2015,https://boxd.it/2LeXuB,4.5,,"Işık hayattır.
Robot yürümeli.
Yürü robot, yürü. Ama neden?
Yürü, yürü, yürü. Robot.
Sonsuza dek yürü...",,2022-04-17
2022-09-16,Ticket to Paradise,2022,https://boxd.it/3eeKer,2.5,,"George Clooney ve Julia Roberts'ın ""Gonna Make You Sweat"" şarkısı ile beer bong oynarken sarhoş olup dans ettikleri sahne beşte beş yıldız... onun dışında ki sahneleri ise unuttum bile... ",,2022-09-14
2022-09-20,My Girl,1991,https://boxd.it/3f3ozp,3.5,,the movie is over but i'm still crying,,2022-09-19
2022-09-21,Don't Worry Darling,2022,https://boxd.it/3feUi3,2.5,,Florence Pugh olmasa 0.5 yıldız verirdim ,,2022-09-20
2022-10-06,Avatar,2009,https://boxd.it/3ievsJ,5,Yes,3D VE IMAX NASIL EN İYİ ŞEKİLDE KULLANILIR İŞTE CEVABI BU FİLM,,2022-10-05
2023-06-15,The Flash,2023,https://boxd.it/4np9EN,3.5,,"""The Flash"", zaman yolculuğu ve kesişen zaman çizgilerinin ustalıkla ele alınması, ilgi çekici anlatımı ve dengeli bir mizah ve duygusal tonu ile DC'nin öne çıkan yapımlarından biri. Bununla birlikte, tutarsız CGI, geçmiş DC filmlerine yapılan referanslara aşırı bağımlılık ve hayran hizmeti cameo'ları genel deneyimi olumsuz etkiliyor. Son 15 dakikası sayesinde salondan bizi güzelce uğurluyor.",,2023-06-14
2023-06-20,Extraction 2,2023,https://boxd.it/4oOf4P,4,,"İnceleme yazımı buraya bırakıyorum.... 

https://arakatmag.art/extraction-2-yuksek-dozda-adrenalin/",,2023-06-17
2023-07-17,Mission: Impossible II,2000,https://boxd.it/4wNjyf,2.5,,"John Woo'nun ağır çekimde güvercinlerle dolu aksiyon balesine pek değer vermiyorum. Yine de bu bir Görevimiz Tehlike filmi ve Ethan Hunt muhtemelen tüm zamanların en sevdiğim casusu. Ama ikinci filmde iyi olan tek şey Cruise'un kendisi. Kötü adamlar, kız ve hikaye...

Filmin ilk kurgusu 3.5 saati ama stüdyo itiraz edip filmin en fazla 2 saat olacağını yönetmene söylemiş. Filmin kötü kurgusunun ve devamlılık hatalarının nedeni açıklıyor gibi keşke 3.5 saatlik versiyonunu görme şansımız olsa ",,2023-07-16
2023-10-10,Fargo,1996,https://boxd.it/4YejGl,5,,filmi izlerken çok üşüdüm ,,2023-09-29
2023-10-16,The Taste of Things,2023,https://boxd.it/50gPnd,3.5,,boğa burçları için yapılmış bir şey bu,,2023-10-14
2023-10-20,Dream Scenario,2023,https://boxd.it/51lKQ9,4,,Seni görebildiğim yer rüyalar artık 🥺,,2023-10-18
2023-12-04,Mortal World 2,2023,https://boxd.it/5gnfCp,2.5,,İkinci yarının tek komik ve güzel sahnesi son sahnesi maalesef. İlk filminden çıktıktan sonra çoğu sahne beynimin içinde tekrar tekrar oynamıştı ama bu filmde bu yaşanmadı bile. ,,2023-12-03
2024-01-17,Child's Play,1988,https://boxd.it/5C22qV,3.5,,"Filmde fazla kan ve vahşet olmasa da, bir korku slasher filmi için epey eğlenceli. Genel olarak, o dönemin yönetmenlik tarzına göre bir sürü harika ve yeni unsura sahip bir film. Chucky'nin nasıl 80'lerin en unutulmaz kötü karakterlerinden biri haline gelmesinde ki en büyük etken tabii ki Brad Dourif'in Chucky'yi seslendirmesi...",,2024-01-16
2024-02-09,Chronicle,2012,https://boxd.it/5N3rA3,3.5,,"Bu filmden bu kadar keyif almayı beklemiyordum. Güzel bir yönetmenlik, senaryo, sinematografi ve kurgu. Oyunculuklar gerçekten beklettiğimden iyiydi  özellikle de Dane DeHaan'ın bu filmde çok beğendim. Daha çok yaş aralığına hitap etmek istemelerini anlıyorum ama biraz daha karanlık olmasını isterdim. Yine de, güzel bir film ve benden 70/100'u hak etti.

",,2024-02-08
2024-02-12,Elemental,2023,https://boxd.it/5OqLHt,3.5,,"Seninle tanıştığım an boğulacak gibi hissettim ama içindeki ışık beni hayatta tuttu.

",,2024-02-10
2024-03-02,Dune: Part Two,2024,https://boxd.it/5X6L6D,5,,"Tek şikayetim, keşke duygusal olay örgüsünü geliştirmek için daha fazla zaman harcasalardı. Neyse ki, performanslar diyaloğun yapamadığını yapıyor.(Zendaya hariç maalesef kötü bir oyuncu)",,2024-03-01
2024-03-04,Nimona,2023,https://boxd.it/5YdSVB,4,,"Retro bir ortaçağ... fütüristik... bir şey. her neyse. konsepti sevdim ama asıl sevdiğim şey inanılmaz çizimler, karakter gelişimi ve aksiyon dolu olmasıydı. bana uzaktan  Spider-Verse filmleri gibi geldi, o yüzden ayrı bir sevdim. Nimona's Theme müziğini açıp kendimi bu evrene ışınlıyorum ve Nimona ve Ballister ile kahkaha dolu bir sohbet ediyoruz...",,2024-03-03
2024-03-09,Past Lives,2023,https://boxd.it/60s3Dp,4.5,,"""Belki de bir sabah aynı dala konan iki kuştuk.""


Ya bu da geçmiş bir yaşantıysa...


...ve biz zaten sonraki yaşamımızda...


...birbirimiz için bir anlam
ifade ediyorsak?


Sence o zaman kimiz?
",,2024-03-09
2024-03-10,Anatomy of a Fall,2023,https://boxd.it/60Y7Ol,4.5,,Çok sarsıcı ve güçlü bir filmdi. Filmi tekrar izlemek istiyorum çünkü  mükemmel diyalogları tekrar tekrar izlerken okumak istiyorummm,,2024-03-09
2024-03-10,Killers of the Flower Moon,2023,https://boxd.it/60YgmZ,4.5,,"DiCaprio ve Robert De Niro ikisi de normal bir performans gösterirlerken Lily Gladstone ise döktürmüş bayıldımmm. Prodüksiyon ve müzikler görselliği ve hikayeyi güçlendiriyor. Ancak, filmin uzun süresi bazen sıkılmayı sağlayabiliyor, süresi azıcık daha kısa olsaydı kusursuz bir film olabilirdi böyle bile oscar için çok güçlü bir aday...",,2024-02-18
2024-03-11,Poor Things,2023,https://boxd.it/61APhL,5,,hiç beklemiyordum oscar adayımın bu filmim olacağını son gün izledim ve listemi alt üst etti ,,2024-03-10
2024-03-13,Countdown,2019,https://boxd.it/62maWz,1,,boring ,,2024-03-12
2024-03-15,Last Night in Soho,2021,https://boxd.it/638peX,3.5,,sonlara doğru bozmasaydı öve öve bitiremeyeceğim bir film olurdu ama bu hali ile bile izlemeye değer. Edgar Wright filmografisi içinde sıralama yapacak olursam en sona yazarım direkt... ,,2024-03-14
